‫شنبه ۱۹ جولای ۲۵، ساعات ۱۹:۲۷:۵۵ (+0330)‬: Backup created: backup_20250719_192755.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۱۹:۲۹:۱۰ (+0330)‬: Backup created: backup_20250719_192910.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۱۹:۳۵:۰۰ (+0330)‬: Backup created: backup_20250719_193500.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۱۹:۳۷:۰۷ (+0330)‬: Backup created: backup_20250719_193707.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۱۹:۵۳:۳۷ (+0330)‬: Backup created: backup_20250719_195337.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۰۰:۲۵ (+0330)‬: Backup created: backup_20250719_200025.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۰۰:۴۱ (+0330)‬: Backup created: backup_20250719_200041.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۰۳:۱۳ (+0330)‬: Backup created: backup_20250719_200313.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۱۷:۴۷ (+0330)‬: Backup created: backup_20250719_201747.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۱۹:۳۳ (+0330)‬: Backup created: backup_20250719_201933.tar.gz | Size: 4.0K | Duration: 0s
‫شنبه ۱۹ جولای ۲۵، ساعات ۲۰:۲۲:۱۴ (+0330)‬: Backup created: backup_20250719_202214.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۰۳:۱۵ (+0330)‬: Backup created: backup_20250720_190315.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۰۹:۴۳ (+0330)‬: Backup created: backup_20250720_190943.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۲۲:۴۹ (+0330)‬: Backup created: backup_20250720_192249.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۳۹:۰۵ (+0330)‬: Backup created: backup_20250720_193905.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۴۰:۳۹ (+0330)‬: Backup created: backup_20250720_194039.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۴۴:۲۶ (+0330)‬: Backup created: backup_20250720_194426.tar.gz | Size: 4.0K | Duration: 0s
‫یکشنبه ۲۰ جولای ۲۵، ساعات ۱۹:۴۴:۲۷ (+0330)‬: Backup encrypted to /home/reyhaneheb/backup-project/backups/backup_20250720_194426.tar.gz.gpg
